section,field,source,source_name,status,notes,value
說明,目的,workspace docs,billing reference,info,整理公共工程估驗計價資料供對照與澄清,
說明,範圍,workspace docs,billing reference,info,估驗請款/契約/預付款/物價調整/待澄清欄位,
說明,已知核心 schema,verified docs,backend-task-board/system-inventory/api-contracts,verified,project / contract / vendor / valuation / finance / audit,
說明,目前已確認有資料的業務主線,conversation,user statement,verified,公共工程估驗計價,
說明,生成時間,generated,hermes,info,2026-04-14T22:21:05,
靜態Billing樣本,key,src/data/finance.js,BILLING_DETAILS,verified,period=1; range=11/01–11/30; pct=18.5%; paid=12/22,billing-1
靜態Billing樣本,period,src/data/finance.js,BILLING_DETAILS,verified,billing period,1
靜態Billing樣本,date_range,src/data/finance.js,BILLING_DETAILS,verified,billing date range,11/01–11/30
靜態Billing樣本,pct,src/data/finance.js,BILLING_DETAILS,verified,completion pct,18.5%
靜態Billing樣本,applied,src/data/finance.js,BILLING_DETAILS,verified,applied amount,"$45,200,000"
靜態Billing樣本,approved,src/data/finance.js,BILLING_DETAILS,verified,approved amount,"$45,200,000"
靜態Billing樣本,paid,src/data/finance.js,BILLING_DETAILS,verified,paid date,12/22
靜態Billing樣本,key,src/data/finance.js,BILLING_DETAILS,verified,period=2; range=12/01–12/31; pct=35.0%; paid=01/20,billing-2
靜態Billing樣本,period,src/data/finance.js,BILLING_DETAILS,verified,billing period,2
靜態Billing樣本,date_range,src/data/finance.js,BILLING_DETAILS,verified,billing date range,12/01–12/31
靜態Billing樣本,pct,src/data/finance.js,BILLING_DETAILS,verified,completion pct,35.0%
靜態Billing樣本,applied,src/data/finance.js,BILLING_DETAILS,verified,applied amount,"$58,400,000"
靜態Billing樣本,approved,src/data/finance.js,BILLING_DETAILS,verified,approved amount,"$58,400,000"
靜態Billing樣本,paid,src/data/finance.js,BILLING_DETAILS,verified,paid date,01/20
靜態Billing樣本,key,src/data/finance.js,BILLING_DETAILS,verified,period=3; range=01/01–01/31; pct=48.2%; paid=02/18,billing-3
靜態Billing樣本,period,src/data/finance.js,BILLING_DETAILS,verified,billing period,3
靜態Billing樣本,date_range,src/data/finance.js,BILLING_DETAILS,verified,billing date range,01/01–01/31
靜態Billing樣本,pct,src/data/finance.js,BILLING_DETAILS,verified,completion pct,48.2%
